text,label
""" (UTC)

And what would you say otherwise? He hates """"gays""""? He is anti-gay in the same way that southern whites were anti-black in 1900... it's really pretty simple... He is probably one of the most bigoted people currently in politics.   

Actually, the first thing that ought to be done to unbias the article and make it encyclopaedic is to have the name of the article reflecting his formal name. This should be not a campaign advertisement which it currently is. That goes for any politician that is listed in an encyclopaedia by their """"buddy name"""". Jim is his """"election name"""", I take it? Is it the name his handlers have given him to personalize him? It was what they do in the state of New York...   05:47, 5 April 2014""",1
"You need psychological help, IP editor. The WP:PWNers of this Talk Page are enabling your neurosis at the expense of everyone else who might actually have something of value to add to the discussion. For some odd reason, they are willing to allow you to drown out any reasonable discussion. Perhaps they are afraid of you, or perhaps have't the spin to tell you where to go... You're a sad case, and you really need to shave the neck-beard and get out of Mom's Basement, there is more to life than tentacle porn. 75.172.9.64",1
"So does your mouth, you gayass",1
"sorry 

i stepped away for a second and my friends decided it would be funny to delete a page. Those damn idiots. Sorry about that.",1
"African Black penis size compared to white penises 

More needs to be added about the imense size of our Black penises when compared to whites and asians, but I would hesitate too, not because I am white because I am Proud Black Africa BUt becuzise this is not a stereotype, this is truth124.180.159.192",1
I notice that you added Cheri DiNovo's name to the list short story contributors at the New Yorker Magazine article. Would you care to mention a single short story she contributed to that magazine? What issue(s)? You can't because you are lying. You gay NDP supporters have real problems with the concept of truth,1
hey pice of shit don't tell me what to write on wikipedia...i'm gona hunt you down and kill everyone you ever loved,1
"(UTC)
So, official wikipedia's doxa is that RS'homosexuality is a calomny ???   15:02, 15 May 2014",1
"Frickin' vandals. Hunt 'em down, Admins please. racooon",1
to Donate to this group of buffoons,1
THE FUKKING RETARDO RACISTO KANUCK,1
"YOU dont have a say in this conversation,no proof! so fuck off!",1
"OK, fine, if Wikipedia was meant as a soapbox for commies like that Siebert guy, then fuck it, I'll wait out the block and then go my own way, start my own (Pro-American but hopefully non-partisan) wiki and take away half your audience!  And don't expect me to help out on the ref desk anytime soon! 67.170.215.166",1
you are a nazi asshole and always will be.,1
"""The images are all copyviolations. None of your work is referenced. All you have to add is speculation. See WP:VMONGO  
Fine, fair enough, ignore me. I have nothing to add that hasn't already been said by the dude on """"http://www.st911.org - resources - what hit the pentagon?"""" Do not ignore him. You will find all 'my' photographs referenced fully within his sources. So ner. (And by the way, the security camera image you guys seem so fond of is, I understand, criticised as dodgy and asserted to be 'conspiratorial' by the neocon arseholes. There's no 757 in it, you see, and the fireball is ridiculously too small. Its important to, like, 'think' (don't know if its been outlawed in america yet) about pictures for yourself, rather than just bitching about the 'liberal elite')
 
I will not touch the site again. but undisputed (and yes they fucking are undisputed: www.st911.org) photographs and measurements of the crash site are vital to allow people to make up their own minds, and 'factual' measurements do not deserve to be tarnished with the label 'conspiracy theory', particularly in a supposedly objective site where you permit references to physically impossible processes. 

Airliner vaporisation? For fuck sake.

""",1
"What, really?  Me?  Blocked?  Say it ain't so!  ...Oh, wait, it aint' so!  You're as incompetent as you are butt ugly - which is saying something!",1
Rape|raped]] in the butt,1
"This article sucks 

for one thing, it focuses exclusively on solid material - what about fluids and solids? For another, the most important concepts are buried under mountains of crap - the most simple, basic and important concepts, like ductile materials failing under shear and brittle failing under normal, fluids supporting normal but flowing under shear ... that should be in the intro. Instead, the article drones on and on with graduate level tensor math that should be spit into other articles.",1
"What the FUCK is your problem, bitch!!!!!!!!!!! 

Why the FUCK did you delete the Dreamtime Festival page, shithead. Some folks are actually interested in things like that, bitch. Why don't you do yourself and the world a favor and stick your head up your ass and take a big whiff. Guess what? Your shit stank, like everyone else, you self-righteous fuck-sissy!!!!!!!!!

                                                    Sincerely,
                                                    The guy that's fuckin' yo MAMA, bitch!",1
"Ashwamedha requires a master of ceremony (yajamana) and his wife to be present. Also, the horse has to be killed and the yajamana patni (master’s wife) needs to indulge in sexual intercourse with the dead horse. Who will be the master then? RA, you know, is not married. So can the community rely on you to officiate the ceremony with your wife? ;-)",1
"I have a big Penis, and everyone should note, that I'm someone that no one has any proof of, other than random IP addresses, and an annoying sense of having no life at all. Make a note of it. 46.165.221.230",1
"""

 YOUR A QUEER 

  SOME PEOPLE WERE DROPPED AS A BABY... WERE YOU THROWN AT A WALL? Why would you do that you N00B )   """,1
